Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#2515,,,,,,,,,,,,,,,,1,Product A - Variant 1,29.00,,PRODA-V1,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002515,,,,0.00,,,,,,,,,,,,,,,,,,,
#2519,mia.walker461@sample.org,paid,2023-02-26 09:38:19 -0500,fulfilled,2023-02-27 09:38:19 -0500,no,USD,29.00,0.00,0.00,29.00,,0.00,Ground Advantage,2023-02-26 09:38:19 -0500,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,Mia Walker,4553 Willow Ct,4553 Willow Ct,,,Philadelphia,78327,PA,US,+18376295640,Mia Walker,4553 Willow Ct,4553 Willow Ct,,,Philadelphia,78327,PA,US,+18376295640,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002519,,Low,web,0.00,,,,,,,,,,,+18376295640,,,Pennsylvania,Pennsylvania,,,,
#2523,nora.scott170@sample.org,paid,2023-03-03 09:22:23 -0500,fulfilled,2023-03-04 09:22:23 -0500,yes,USD,12.00,5.36,0.00,17.36,,0.00,Standard,2023-03-03 09:22:23 -0500,1,Product B - Variant 1,12.00,,PRODB-V1,true,true,fulfilled,Nora Scott,3480 Highland Ave,3480 Highland Ave,,,Austin,80686,TX,US,+19538806611,Nora Scott,3480 Highland Ave,3480 Highland Ave,,,Austin,80686,TX,US,+19538806611,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002523,,Low,web,0.00,,,,,,,,,,,+19538806611,,,Texas,Texas,,,,
#2525,zoey.wright506@test-mail.com,paid,2023-03-11 15:28:49 -0500,fulfilled,2023-03-12 15:28:49 -0500,yes,USD,55.50,4.96,4.58,65.04,,0.00,Standard,2023-03-11 15:28:49 -0500,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,Zoey Wright,7088 Birch Way,7088 Birch Way,,,Los Angeles,52247,CA,US,+14592930364,Zoey Wright,7088 Birch Way,7088 Birch Way,,,Los Angeles,52247,CA,US,+14592930364,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002525,,Low,web,0.00,,,,,,,,,,,+14592930364,,,California,California,,,,
#2525,,,,,,,,,,,,,,,,1,Product C,24.00,,PRODC-15ML,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002525,,,,0.00,,,,,,,,,,,,,,,,,,,
#2525,,,,,,,,,,,,,,,,1,Package Protection - $2.50,2.50,,PP-2,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002525,,,,0.00,,,,,,,,,,,,,,,,,,,
#2527,leah.smith697@example.com,paid,2023-03-16 07:40:43 -0500,fulfilled,2023-03-17 07:40:43 -0500,yes,USD,65.00,5.36,5.36,75.72,,0.00,Economy,2023-03-16 07:40:43 -0500,1,Product B - Variant 2,12.00,,PRODB-V2,true,true,fulfilled,Leah Smith,4381 Willow Ct,4381 Willow Ct,,,Newark,94012,NJ,US,+13461042543,Leah Smith,4381 Willow Ct,4381 Willow Ct,,,Newark,94012,NJ,US,+13461042543,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002527,,Low,web,0.00,,,,,,,,,,,+13461042543,,,New Jersey,New Jersey,,,,
#2527,,,,,,,,,,,,,,,,1,Product A - Variant 3,29.00,,PRODA-V3,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002527,,,,0.00,,,,,,,,,,,,,,,,,,,
#2527,,,,,,,,,,,,,,,,2,Product B - Variant 1,12.00,,PRODB-V1,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002527,,,,0.00,,,,,,,,,,,,,,,,,,,
#2529,logan.young956@sample.org,paid,2023-03-21 02:20:38 -0500,fulfilled,2023-03-22 02:20:38 -0500,yes,USD,29.00,0.00,1.74,30.74,,0.00,Priority Mail,2023-03-21 02:20:38 -0500,1,Product A - Variant 3,29.00,,PRODA-V3,true,true,fulfilled,Logan Young,7915 Hillcrest Ave,7915 Hillcrest Ave,,,Austin,41946,TX,US,+18256850245,Logan Young,7915 Hillcrest Ave,7915 Hillcrest Ave,,,Austin,41946,TX,US,+18256850245,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002529,,Low,web,0.00,,,,,,,,,,,+18256850245,,,Texas,Texas,,,,
#2533,evelyn.hernandez760@test-mail.com,paid,2023-04-02 02:27:06 -0500,fulfilled,2023-04-03 02:27:06 -0500,yes,USD,29.00,4.96,2.39,36.35,,0.00,Priority Mail,2023-04-02 02:27:06 -0500,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,Evelyn Hernandez,168 Oak St,168 Oak St,,,Austin,19862,TX,US,+19262873961,Evelyn Hernandez,168 Oak St,168 Oak St,,,Austin,19862,TX,US,+19262873961,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002533,,Low,web,0.00,,,,,,,,,,,+19262873961,,,Texas,Texas,,,,
#2537,scarlett.anderson666@example.com,paid,2023-04-14 07:56:34 -0500,fulfilled,2023-04-15 07:56:34 -0500,yes,USD,29.50,0.00,0.00,29.50,,0.00,Priority Mail,2023-04-14 07:56:34 -0500,1,Product D,27.00,,PRODD-10ML,true,true,fulfilled,Scarlett Anderson,518 Pine Rd,518 Pine Rd,,,Philadelphia,36130,PA,US,+15604460472,Scarlett Anderson,518 Pine Rd,518 Pine Rd,,,Philadelphia,36130,PA,US,+15604460472,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002537,,Low,web,0.00,,,,,,,,,,,+15604460472,,,Pennsylvania,Pennsylvania,,,,
#2537,,,,,,,,,,,,,,,,1,Package Protection - $2.50,2.50,,PP-2,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002537,,,,0.00,,,,,,,,,,,,,,,,,,,
#2538,penelope.white592@example.net,paid,2023-04-17 14:06:33 -0500,fulfilled,2023-04-18 14:06:33 -0500,yes,USD,45.25,0.00,0.00,41.05,PROMO10,4.20,Economy,2023-04-17 14:06:33 -0500,1,Product C,24.00,,PRODC-15ML,true,true,fulfilled,Penelope White,3743 Willow Ct,3743 Willow Ct,,,Chicago,47930,IL,US,+16231494220,Penelope White,3743 Willow Ct,3743 Willow Ct,,,Chicago,47930,IL,US,+16231494220,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002538,,Low,web,0.00,,,,,,,,,,,+16231494220,,,Illinois,Illinois,,,,
#2538,,,,,,,,,,,,,,,,1,Product E,18.00,,PRODE-01,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002538,,,,0.00,,,,,,,,,,,,,,,,,,,
#2538,,,,,,,,,,,,,,,,1,Package Protection - $3.25,3.25,,PP-4,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002538,,,,0.00,,,,,,,,,,,,,,,,,,,
#2541,carter.lee501@example.com,paid,2023-04-17 14:10:44 -0500,fulfilled,2023-04-18 14:10:44 -0500,yes,USD,53.00,0.00,4.37,57.37,,0.00,Priority Mail,2023-04-17 14:10:44 -0500,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,Carter Lee,5048 Pine Rd,5048 Pine Rd,,,Los Angeles,17592,CA,US,+17329502889,Carter Lee,5048 Pine Rd,5048 Pine Rd,,,Los Angeles,17592,CA,US,+17329502889,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002541,,Low,web,0.00,,,,,,,,,,,+17329502889,,,California,California,,,,
#2541,,,,,,,,,,,,,,,,1,Product C,24.00,,PRODC-15ML,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002541,,,,0.00,,,,,,,,,,,,,,,,,,,
#2544,mia.walker461@sample.org,paid,2023-05-11 14:23:43 -0500,fulfilled,2023-05-12 14:23:43 -0500,no,USD,54.00,4.96,0.00,58.96,,0.00,Economy,2023-05-11 14:23:43 -0500,2,Product D,27.00,,PRODD-10ML,true,true,fulfilled,Mia Walker,4553 Willow Ct,4553 Willow Ct,,,Philadelphia,78327,PA,US,+18376295640,Mia Walker,4553 Willow Ct,4553 Willow Ct,,,Philadelphia,78327,PA,US,+18376295640,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002544,,Low,web,0.00,,,,,,,,,,,+18376295640,,,Pennsylvania,Pennsylvania,,,,
#2547,scarlett.hill271@example.com,paid,2023-05-14 16:37:21 -0500,fulfilled,2023-05-15 16:37:21 -0500,yes,USD,89.00,4.96,6.61,91.67,WELCOME10,8.90,Standard,2023-05-14 16:37:21 -0500,2,Product C,24.00,,PRODC-15ML,true,true,fulfilled,Scarlett Hill,6211 Oak St,6211 Oak St,,,Chicago,82357,IL,US,+17554158401,Scarlett Hill,6211 Oak St,6211 Oak St,,,Chicago,82357,IL,US,+17554158401,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002547,,Low,web,0.00,,,,,,,,,,,+17554158401,,,Illinois,Illinois,,,,
#2547,,,,,,,,,,,,,,,,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002547,,,,0.00,,,,,,,,,,,,,,,,,,,
#2547,,,,,,,,,,,,,,,,1,Product B - Variant 2,12.00,,PRODB-V2,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002547,,,,0.00,,,,,,,,,,,,,,,,,,,
#2551,aria.taylor40@example.com,paid,2023-05-19 02:58:18 -0500,fulfilled,2023-05-20 02:58:18 -0500,yes,USD,29.00,0.00,0.00,26.10,PROMO2023,2.90,Ground Advantage,2023-05-19 02:58:18 -0500,1,Product A - Variant 1,29.00,,PRODA-V1,true,true,fulfilled,Aria Taylor,5149 Lakeview Dr,5149 Lakeview Dr,,,Houston,89457,TX,US,+12496694873,Aria Taylor,5149 Lakeview Dr,5149 Lakeview Dr,,,Houston,89457,TX,US,+12496694873,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002551,,Low,web,0.00,,,,,,,,,,,+12496694873,,,Texas,Texas,,,,
#2553,penelope.martinez245@example.net,paid,2023-05-23 12:29:23 -0500,fulfilled,2023-05-24 12:29:23 -0500,yes,USD,27.00,0.00,1.46,25.76,PROMO10,2.70,Ground Advantage,2023-05-23 12:29:23 -0500,1,Product D,27.00,,PRODD-10ML,true,true,fulfilled,Penelope Martinez,3581 Hillcrest Ave,3581 Hillcrest Ave,,,Orlando,43586,FL,US,+15293802269,Penelope Martinez,3581 Hillcrest Ave,3581 Hillcrest Ave,,,Orlando,43586,FL,US,+15293802269,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002553,,Low,web,0.00,,,,,,,,,,,+15293802269,,,Florida,Florida,,,,
#2557,nora.flores871@example.com,paid,2023-05-29 07:55:43 -0500,fulfilled,2023-05-30 07:55:43 -0500,no,USD,29.00,0.00,1.57,27.67,WELCOME10,2.90,Economy,2023-05-29 07:55:43 -0500,1,Product A - Variant 1,29.00,,PRODA-V1,true,true,fulfilled,Nora Flores,9441 Pine Rd,9441 Pine Rd,,,Orlando,60328,FL,US,+14123333781,Nora Flores,9441 Pine Rd,9441 Pine Rd,,,Orlando,60328,FL,US,+14123333781,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002557,,Low,web,0.00,,,,,,,,,,,+14123333781,,,Florida,Florida,,,,
#2559,lily.rodriguez433@example.net,paid,2023-05-31 07:29:40 -0500,fulfilled,2023-06-01 07:29:40 -0500,yes,USD,84.00,0.00,6.93,90.93,,0.00,Priority Mail,2023-05-31 07:29:40 -0500,1,Product B - Variant 2,12.00,,PRODB-V2,true,true,fulfilled,Lily Rodriguez,1245 Hillcrest Ave,1245 Hillcrest Ave,,,Brooklyn,82132,NY,US,+12420514789,Lily Rodriguez,1245 Hillcrest Ave,1245 Hillcrest Ave,,,Brooklyn,82132,NY,US,+12420514789,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002559,,Low,web,0.00,,,,,,,,,,,+12420514789,,,New York,New York,,,,
#2559,,,,,,,,,,,,,,,,1,Product C,24.00,,PRODC-15ML,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002559,,,,0.00,,,,,,,,,,,,,,,,,,,
#2559,,,,,,,,,,,,,,,,2,Product C,24.00,,PRODC-15ML,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002559,,,,0.00,,,,,,,,,,,,,,,,,,,
#2563,chloe.hill611@example.net,paid,2023-06-02 04:34:16 -0500,fulfilled,2023-06-03 04:34:16 -0500,yes,USD,38.50,4.96,2.31,45.77,,0.00,Standard,2023-06-02 04:34:16 -0500,1,Product C,24.00,,PRODC-15ML,true,true,fulfilled,Chloe Hill,7263 Elm St,7263 Elm St,,,Philadelphia,87139,PA,US,+16252151888,Chloe Hill,7263 Elm St,7263 Elm St,,,Philadelphia,87139,PA,US,+16252151888,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002563,,Low,web,0.00,,,,,,,,,,,+16252151888,,,Pennsylvania,Pennsylvania,,,,
#2563,,,,,,,,,,,,,,,,1,Product B - Variant 1,12.00,,PRODB-V1,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002563,,,,0.00,,,,,,,,,,,,,,,,,,,
#2563,,,,,,,,,,,,,,,,1,Package Protection - $2.50,2.50,,PP-2,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002563,,,,0.00,,,,,,,,,,,,,,,,,,,
#2564,logan.harris196@example.net,paid,2023-06-05 02:08:17 -0500,fulfilled,2023-06-06 02:08:17 -0500,yes,USD,24.00,0.00,0.00,24.00,,0.00,Priority Mail,2023-06-05 02:08:17 -0500,1,Product C,24.00,,PRODC-15ML,true,true,fulfilled,Logan Harris,6808 Sunset Blvd,6808 Sunset Blvd,,,Seattle,76550,WA,US,+17442465131,Logan Harris,6808 Sunset Blvd,6808 Sunset Blvd,,,Seattle,76550,WA,US,+17442465131,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002564,,Low,web,0.00,,,,,,,,,,,+17442465131,,,Washington,Washington,,,,
#2567,james.hill825@example.com,paid,2023-06-12 13:41:06 -0500,fulfilled,2023-06-13 13:41:06 -0500,yes,USD,87.00,4.96,0.00,83.26,WELCOME10,8.70,Ground Advantage,2023-06-12 13:41:06 -0500,1,Product A - Variant 3,29.00,,PRODA-V3,true,true,fulfilled,James Hill,682 Sunset Blvd,682 Sunset Blvd,,,Columbus,79827,OH,US,+18134836840,James Hill,682 Sunset Blvd,682 Sunset Blvd,,,Columbus,79827,OH,US,+18134836840,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002567,,Low,web,0.00,,,,,,,,,,,+18134836840,,,Ohio,Ohio,,,,
#2567,,,,,,,,,,,,,,,,1,Product A - Variant 3,29.00,,PRODA-V3,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002567,,,,0.00,,,,,,,,,,,,,,,,,,,
#2567,,,,,,,,,,,,,,,,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002567,,,,0.00,,,,,,,,,,,,,,,,,,,
#2568,james.torres636@example.com,paid,2023-07-02 03:42:55 -0500,fulfilled,2023-07-03 03:42:55 -0500,yes,USD,27.25,6.10,0.00,33.35,,0.00,Economy,2023-07-02 03:42:55 -0500,1,Product C,24.00,,PRODC-15ML,true,true,fulfilled,James Torres,3414 2nd St,3414 2nd St,,,Houston,37659,TX,US,+17431613745,James Torres,3414 2nd St,3414 2nd St,,,Houston,37659,TX,US,+17431613745,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002568,,Low,web,0.00,,,,,,,,,,,+17431613745,,,Texas,Texas,,,,
#2568,,,,,,,,,,,,,,,,1,Package Protection - $3.25,3.25,,PP-4,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002568,,,,0.00,,,,,,,,,,,,,,,,,,,
#2570,aria.gonzalez436@example.com,paid,2023-07-02 08:03:08 -0500,fulfilled,2023-07-03 08:03:08 -0500,yes,USD,38.88,0.00,3.21,42.09,,0.00,Priority Mail,2023-07-02 08:03:08 -0500,1,Product B - Variant 1,12.00,,PRODB-V1,true,true,fulfilled,Aria Gonzalez,4362 River Rd,4362 River Rd,,,Austin,28643,TX,US,+12306702926,Aria Gonzalez,4362 River Rd,4362 River Rd,,,Austin,28643,TX,US,+12306702926,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002570,,Low,web,0.00,,,,,,,,,,,+12306702926,,,Texas,Texas,,,,
#2570,,,,,,,,,,,,,,,,1,Product C,24.00,,PRODC-15ML,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002570,,,,0.00,,,,,,,,,,,,,,,,,,,
#2570,,,,,,,,,,,,,,,,1,Package Protection - $2.88,2.88,,PP-3,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002570,,,,0.00,,,,,,,,,,,,,,,,,,,
#2571,benjamin.jones527@example.net,paid,2023-07-08 05:11:05 -0500,fulfilled,2023-07-09 05:11:05 -0500,yes,USD,29.50,0.00,2.43,31.93,,0.00,Economy,2023-07-08 05:11:05 -0500,1,Product D,27.00,,PRODD-10ML,true,true,fulfilled,Benjamin Jones,8844 Cedar Ln,8844 Cedar Ln,,,Brooklyn,84847,NY,US,+14474810179,Benjamin Jones,8844 Cedar Ln,8844 Cedar Ln,,,Brooklyn,84847,NY,US,+14474810179,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002571,,Low,web,0.00,,,,,,,,,,,+14474810179,,,New York,New York,,,,
#2571,,,,,,,,,,,,,,,,1,Package Protection - $2.50,2.50,,PP-2,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Package Protection Vendor,,,,,7000000002571,,,,0.00,,,,,,,,,,,,,,,,,,,
#2573,owen.martinez446@example.net,paid,2023-07-08 08:44:48 -0500,fulfilled,2023-07-09 08:44:48 -0500,no,USD,29.00,0.00,2.15,28.25,PROMO10,2.90,Standard,2023-07-08 08:44:48 -0500,1,Product A - Variant 1,29.00,,PRODA-V1,true,true,fulfilled,Owen Martinez,4435 Park Ave,4435 Park Ave,,,Chicago,80539,IL,US,+15327059683,Owen Martinez,4435 Park Ave,4435 Park Ave,,,Chicago,80539,IL,US,+15327059683,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002573,,Low,web,0.00,,,,,,,,,,,+15327059683,,,Illinois,Illinois,,,,
#2577,jack.jones972@sample.org,paid,2023-07-29 04:50:34 -0500,fulfilled,2023-07-30 04:50:34 -0500,yes,USD,58.00,5.36,4.79,68.15,,0.00,Standard,2023-07-29 04:50:34 -0500,1,Product A - Variant 1,29.00,,PRODA-V1,true,true,fulfilled,Jack Jones,2051 Birch Way,2051 Birch Way,,,Newark,49363,NJ,US,+14178074590,Jack Jones,2051 Birch Way,2051 Birch Way,,,Newark,49363,NJ,US,+14178074590,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002577,,Low,web,0.00,,,,,,,,,,,+14178074590,,,New Jersey,New Jersey,,,,
#2577,,,,,,,,,,,,,,,,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC Brand,,,,,7000000002577,,,,0.00,,,,,,,,,,,,,,,,,,,
#2580,logan.hernandez812@test-mail.com,paid,2023-08-10 04:42:30 -0500,fulfilled,2023-08-11 04:42:30 -0500,yes,USD,29.00,0.00,2.15,28.25,WELCOME10,2.90,Priority Mail,2023-08-10 04:42:30 -0500,1,Product A - Variant 2,29.00,,PRODA-V2,true,true,fulfilled,Logan Hernandez,9773 Hillcrest Ave,9773 Hillcrest Ave,,,Houston,79352,TX,US,+17374782700,Logan Hernandez,9773 Hillcrest Ave,9773 Hillcrest Ave,,,Houston,79352,TX,US,+17374782700,,,,Shopify Payments,,,DTC Brand,0.00,,,,7000000002580,,Low,web,0.00,,,,,,,,,,,+17374782700,,,Texas,Texas,,,,
